Symbol,Company Name,Market Cap
AAPL,Apple Inc.,"3,725.29B"
MSFT,Microsoft Corporation,"3,315.81B"
NVDA,NVIDIA Corporation,"3,263.78B"
AMZN,"Amazon.com, Inc.","2,391.30B"
GOOG,Alphabet Inc.,"2,359.02B"
GOOGL,Alphabet Inc.,"2,343.38B"
META,"Meta Platforms, Inc.","1,561.33B"
TSLA,"Tesla, Inc.","1,366.79B"
AVGO,Broadcom Inc.,"1,011.74B"
BRK.B,Berkshire Hathaway Inc.,988.39B
WMT,Walmart Inc.,759.52B
LLY,Eli Lilly and Company,712.37B
JPM,JPMorgan Chase & Co.,674.11B
V,Visa Inc.,618.45B
XOM,Exxon Mobil Corporation,487.92B
MA,Mastercard Incorporated,487.55B
UNH,UnitedHealth Group Incorporated,482.43B
ORCL,Oracle Corporation,481.40B
COST,Costco Wholesale Corporation,442.39B
HD,"The Home Depot, Inc.",414.50B
PG,The Procter & Gamble Company,403.78B
NFLX,"Netflix, Inc.",391.30B
JNJ,Johnson & Johnson,352.02B
BAC,Bank of America Corporation,348.92B
CRM,"Salesforce, Inc.",338.12B
ABBV,AbbVie Inc.,308.19B
CVX,Chevron Corporation,277.72B
KO,The Coca-Cola Company,274.26B
TMUS,"T-Mobile US, Inc.",269.01B
MRK,"Merck & Co., Inc.",258.07B
WFC,Wells Fargo & Company,233.96B
CSCO,"Cisco Systems, Inc.",233.55B
BX,Blackstone Inc.,232.09B
NOW,"ServiceNow, Inc.",230.46B
ACN,Accenture plc,222.88B
PEP,"PepsiCo, Inc.",220.74B
IBM,International Business Machines Corporation,213.82B
MCD,McDonald's Corporation,212.94B
AXP,American Express Company,212.50B
LIN,Linde plc,207.43B
DIS,The Walt Disney Company,205.65B
AMD,"Advanced Micro Devices, Inc.",204.95B
MS,Morgan Stanley,204.65B
ADBE,Adobe Inc.,202.66B
TMO,Thermo Fisher Scientific Inc.,201.70B
ABT,Abbott Laboratories,197.99B
PM,Philip Morris International Inc.,197.46B
ISRG,"Intuitive Surgical, Inc.",193.29B
GS,"The Goldman Sachs Group, Inc.",192.74B
CAT,Caterpillar Inc.,183.34B
INTU,Intuit Inc.,183.28B
GE,General Electric Company,179.65B
VZ,Verizon Communications Inc.,178.05B
QCOM,QUALCOMM Incorporated,174.58B
TXN,Texas Instruments Incorporated,174.11B
BKNG,Booking Holdings Inc.,172.91B
T,AT&T Inc.,168.80B
DHR,Danaher Corporation,168.60B
PLTR,Palantir Technologies Inc.,167.87B
BLK,"BlackRock, Inc.",163.54B
SPGI,S&P Global Inc.,156.79B
RTX,RTX Corporation,156.48B
CMCSA,Comcast Corporation,152.46B
NEE,"NextEra Energy, Inc.",151.08B
LOW,"Lowe's Companies, Inc.",148.45B
HON,Honeywell International Inc.,148.38B
PGR,The Progressive Corporation,148.32B
AMGN,Amgen Inc.,146.23B
SCHW,The Charles Schwab Corporation,145.92B
PFE,Pfizer Inc.,144.90B
UNP,Union Pacific Corporation,143.13B
SYK,Stryker Corporation,142.95B
TJX,"The TJX Companies, Inc.",141.67B
ETN,Eaton Corporation plc,141.04B
ANET,Arista Networks Inc,139.04B
AMAT,"Applied Materials, Inc.",139.00B
KKR,KKR & Co. Inc.,137.96B
C,Citigroup Inc.,134.21B
BSX,Boston Scientific Corporation,133.18B
COP,ConocoPhillips,132.04B
PANW,"Palo Alto Networks, Inc.",129.06B
UBER,"Uber Technologies, Inc.",128.23B
BA,The Boeing Company,126.39B
ADP,"Automatic Data Processing, Inc.",121.08B
DE,Deere & Company,120.47B
VRTX,Vertex Pharmaceuticals Incorporated,119.37B
LMT,Lockheed Martin Corporation,117.77B
FI,"Fiserv, Inc.",116.67B
NKE,"NIKE, Inc.",114.73B
GILD,"Gilead Sciences, Inc.",113.88B
BMY,Bristol-Myers Squibb Company,113.29B
MU,"Micron Technology, Inc.",112.22B
CB,Chubb Limited,111.44B
SBUX,Starbucks Corporation,110.14B
