Symbol,Company Name,Market Cap
AAPL,Apple Inc.,"3,750.69B"
MSFT,Microsoft Corporation,"3,325.40B"
NVDA,NVIDIA Corporation,"3,287.78B"
AMZN,"Amazon.com, Inc.","2,391.74B"
GOOG,Alphabet Inc.,"2,332.22B"
GOOGL,Alphabet Inc.,"2,323.59B"
META,"Meta Platforms, Inc.","1,566.07B"
TSLA,"Tesla, Inc.","1,400.32B"
AVGO,Broadcom Inc.,"1,049.95B"
BRK.B,Berkshire Hathaway Inc.,986.92B
WMT,Walmart Inc.,757.15B
LLY,Eli Lilly and Company,710.55B
JPM,JPMorgan Chase & Co.,675.51B
V,Visa Inc.,616.81B
XOM,Exxon Mobil Corporation,487.15B
MA,Mastercard Incorporated,485.53B
ORCL,Oracle Corporation,484.96B
UNH,UnitedHealth Group Incorporated,478.99B
COST,Costco Wholesale Corporation,439.21B
HD,"The Home Depot, Inc.",414.21B
PG,The Procter & Gamble Company,402.85B
NFLX,"Netflix, Inc.",392.78B
JNJ,Johnson & Johnson,353.01B
BAC,Bank of America Corporation,350.42B
CRM,"Salesforce, Inc.",339.07B
ABBV,AbbVie Inc.,306.37B
CVX,Chevron Corporation,276.52B
KO,The Coca-Cola Company,271.91B
TMUS,"T-Mobile US, Inc.",269.16B
MRK,"Merck & Co., Inc.",258.02B
WFC,Wells Fargo & Company,234.53B
CSCO,"Cisco Systems, Inc.",233.47B
NOW,"ServiceNow, Inc.",231.30B
BX,Blackstone Inc.,230.17B
ACN,Accenture plc,224.12B
PEP,"PepsiCo, Inc.",219.25B
IBM,International Business Machines Corporation,213.43B
AXP,American Express Company,212.84B
MCD,McDonald's Corporation,212.55B
LIN,Linde plc,207.27B
AMD,"Advanced Micro Devices, Inc.",205.95B
DIS,The Walt Disney Company,205.25B
MS,Morgan Stanley,205.25B
ADBE,Adobe Inc.,205.00B
TMO,Thermo Fisher Scientific Inc.,201.54B
PM,Philip Morris International Inc.,196.87B
ABT,Abbott Laboratories,196.65B
GS,"The Goldman Sachs Group, Inc.",192.75B
ISRG,"Intuitive Surgical, Inc.",192.19B
INTU,Intuit Inc.,183.83B
CAT,Caterpillar Inc.,183.71B
